name, street, city, state, zipcode, county, lat, long
McCarthy-Towne School,11 Charter Road,Acton,MA,01720,Middlesex County,42.47696,-71.453583
McKay Elementary School,67 Rindge Road,Fitchburg,MA,01420,Worcester County,42.59503,-71.789731
McKay K-8 School,122 Cottage Street,East Boston,MA,02128,Suffolk County,42.369185,-71.034242
McKeown School,70 Balch Street,Beverly,MA,01915,Essex County,42.563309,-70.889856
Meadow Brook,607 Parker Street,East Longmeadow,MA,01028,Hampden County,42.078628,-72.483693
MEADOWBROOK SCHOOL OF WESTON,10 FARM RD,WESTON,MA,02493,Middlesex County,42.35484,-71.273021
MEADOWRIDGE PELHAM ACADEMY,13 PELHAM RD,LEXINGTON,MA,02421,Middlesex County,42.43867,-71.217381
Medfield Senior High,88R South Street,Medfield,MA,02052,Norfolk County,42.184839,-71.297268
Medford High,489 Winthrop Street,Medford,MA,02155,Middlesex County,42.42956,-71.12548
Medway High,88 Summer Street,Medway,MA,02053,Norfolk County,42.154225,-71.438064
Medway Middle,45 Holliston Street,Medway,MA,02053,Norfolk County,42.145756,-71.406989
MEETING HOUSE MONTESSORI SCHOOL,85 WASHINGTON ST,BRAINTREE,MA,21841,Norfolk County,42.229684,-71.003437
MEETING STREET/THE SCHWARTZ CENTER,1 POSA PL,NORTH DARTMOUTH,MA,27472,Bristol County,41.633921,-70.988305
Meetinghouse School,8 South Street,Westminster,MA,01473,Worcester County,42.543346,-71.910835
MELMARK NEW ENGLAND,461 RIVER RD,ANDOVER,MA,01810,Essex County,42.65535,-71.24878
Melrose High,360 Lynn Fells Parkway,Melrose,MA,02176,Middlesex County,42.464254,-71.065446
Melrose Middle,350 Lynn Fells Parkway,Melrose,MA,02176,Middlesex County,42.464275,-71.066568
MELROSE MONTESSORI SCHOOL,70 W EMERSON ST,MELROSE,MA,02176,Middlesex County,42.45876,-71.066591
Melvin H. King South End Academy,90 Warren Avenue,Boston,MA,02116,Suffolk County,42.344399,-71.073364
Memorial,125 Winn Street,Burlington,MA,01803,Middlesex County,42.50056,-71.183696
Memorial,6 Prospect Street,Hopedale,MA,01747,Worcester County,42.131547,-71.536203
Memorial,12-14 Walnut Street,Milford,MA,01757,Worcester County,42.145025,-71.521548
Memorial,107 Eliot Street,Natick,MA,01760,Middlesex County,42.270682,-71.323262
Memorial,201 Norman Street,West Springfield,MA,01089,Hampden County,42.096807,-72.624579
Memorial,32 Elmwood Rd,Winchendon,MA,01475,Worcester County,42.697581,-72.041714
Memorial Early Childhood Center,219 North Main Street,Middleboro,MA,02346,Plymouth County,41.894952,-70.905588
Memorial Middle,81 Central Avenue,Hull,MA,02045,Plymouth County,42.297674,-70.885022
Memorial Middle School,615 Rollstone Street,Fitchburg,MA,01420,Worcester County,42.571245,-71.811252
Memorial School,59 Adams Street,Medfield,MA,02052,Norfolk County,42.194248,-71.312539
Memorial School,69 Main Street,Upton,MA,01568,Worcester County,42.170578,-71.6136
Memorial Spaulding,250 Brookline Street,Newton Centre,MA,02459,Middlesex County,42.302043,-71.1777
Mendell Elementary School,164 School Street,Roxbury,MA,02119,Suffolk County,42.316614,-71.101517
Menotomy Preschool,17 Irving Street,Arlington,MA,02476,Middlesex County,42.41244,-71.1588019
MERIDIAN ACADEMY,54 BROOKSIDE AVE,JAMAICA PLAIN,MA,02130,Suffolk County,42.312984,-71.103271
Merriam School,11 Charter Road,Acton,MA,01720,Middlesex County,42.47696,-71.453583
Merrill Elementary School,687 Pleasant Street,Raynham,MA,02767,Bristol County,41.934,-71.032029
MERRIMAC HEIGHTS ACADEMY,102 W MAIN ST,MERRIMAC,MA,01860,Essex County,42.8257,-71.015821
Merrymount,4 Agawam Rd,Quincy,MA,02169,Norfolk County,42.265029,-70.99317
